date,open,high,low,close,volume,amount
2022-03-11,2020.792,2110.614,2010.239,2110.286,1283091680,22181326000.0
2022-03-14,2148.68,2166.927,2085.236,2085.236,1370429600,28165026000.0
2022-03-15,2049.31,2075.558,1999.308,2003.153,1274711230,21126771000.0
2022-03-16,2028.976,2036.722,1921.817,2019.305,1285143530,21302486000.0
2022-03-17,2022.269,2121.923,2016.4,2075.887,1271882320,22161923000.0
2022-03-18,2071.719,2102.443,2067.706,2096.69,1196179290,16794181000.0
2022-03-21,2101.92,2133.158,2092.849,2126.358,1144111250,17476535000.0
2022-03-22,2121.285,2121.677,2073.292,2082.704,979909540,15109512000.0
2022-03-23,2080.017,2111.445,2065.865,2092.278,934249310,14652871000.0
2022-03-24,2073.739,2119.766,2056.831,2110.105,1206444240,18890426000.0
2022-03-25,2104.018,2114.516,2064.884,2064.884,1133676010,15830009000.0
2022-03-28,2060.819,2073.611,2039.313,2058.459,877738010,12757876400.0
2022-03-29,2066.096,2097.425,2055.755,2068.104,1051941680,14835228000.0
2022-03-30,2066.968,2088.719,2035.193,2083.293,931277000,13201808500.0
2022-03-31,2072.174,2110.255,2068.545,2070.842,1072094850,14108889000.0
2022-04-01,2054.182,2057.314,2033.652,2038.382,822630640,11276586600.0
2022-04-06,2048.599,2081.695,2048.417,2071.077,870607500,11071236700.0
2022-04-07,2064.283,2072.414,2008.514,2008.514,906837700,10474963000.0
2022-04-08,2014.175,2019.052,1956.402,1966.432,737693400,9522209000.0
2022-04-11,1966.113,1972.401,1911.421,1921.778,681087040,10567357400.0
2022-04-12,1922.321,1966.547,1910.699,1966.323,608465930,10437500300.0
2022-04-13,1950.303,1954.261,1917.526,1921.941,657439530,10477218700.0
2022-04-14,1931.08,2003.461,1930.637,1988.874,808599140,14262512000.0
2022-04-15,1973.052,1974.677,1947.074,1953.516,630293970,11645544900.0
2022-04-18,1938.726,1955.262,1911.925,1954.781,578411270,9341664900.0
2022-04-19,1943.654,1955.375,1921.674,1933.688,517357190,9079307600.0
2022-04-20,1933.21,1941.686,1895.672,1902.826,557259930,8807104400.0
2022-04-21,1896.072,1901.444,1826.087,1832.105,714698010,10574094200.0
2022-04-22,1823.096,1823.512,1788.311,1804.376,542073080,8743988900.0
2022-04-25,1783.291,1790.854,1689.85,1689.85,806404840,11713455100.0
2022-04-26,1692.397,1724.094,1663.825,1669.61,798525690,11725078100.0
2022-04-27,1648.111,1718.16,1626.672,1716.982,766672320,12119033200.0
2022-04-28,1703.141,1719.939,1677.563,1692.107,706568790,11059022100.0
2022-04-29,1704.959,1770.321,1704.425,1763.2,850122290,12324280800.0
2022-05-05,1764.21,1828.25,1752.964,1814.977,801863940,15064264000.0
2022-05-06,1778.344,1839.242,1771.194,1817.889,751355720,13309470200.0
2022-05-09,1813.634,1847.675,1811.836,1840.667,644779350,9845843900.0
2022-05-10,1820.043,1849.368,1816.829,1847.52,640999580,10916493300.0
2022-05-11,1848.527,1885.723,1841.899,1842.26,760062210,12343749100.0
2022-05-12,1829.224,1870.942,1828.077,1862.012,602214490,9446837600.0
2022-05-13,1868.294,1893.193,1841.847,1865.274,500916840,7986618600.0
2022-05-16,1871.439,1875.793,1829.217,1836.495,502383100,8136314700.0
2022-05-17,1842.793,1843.467,1796.292,1816.173,571732680,8390723300.0
2022-05-18,1816.374,1831.596,1811.041,1813.248,474254170,7833683700.0
2022-05-19,1791.402,1814.941,1783.236,1813.83,563096260,7172165900.0
2022-05-20,1818.003,1840.474,1814.458,1835.491,547040740,8356629200.0
2022-05-23,1852.305,1872.999,1844.75,1872.414,636677510,9861108600.0
2022-05-24,1871.746,1871.746,1776.058,1776.058,776139990,13561770000.0
2022-05-25,1771.258,1802.954,1771.24,1802.954,470352180,7655696800.0
2022-05-26,1808.483,1809.068,1762.43,1794.775,467966070,9202113700.0
2022-05-27,1800.371,1809.906,1773.163,1786.845,471917910,10197867300.0
2022-05-30,1788.853,1800.527,1771.737,1797.654,399446470,7703559400.0
2022-05-31,1798.483,1821.076,1773.679,1820.088,501268470,9707436200.0
2022-06-01,1820.343,1843.134,1812.572,1824.49,457400260,7983080400.0
2022-06-02,1821.405,1821.405,1799.042,1820.041,477977910,8889916700.0
2022-06-06,1822.217,1860.323,1820.695,1859.372,518384150,11655971500.0
2022-06-07,1858.092,1872.964,1843.927,1872.386,625161400,12027252800.0
2022-06-08,1870.757,1878.03,1839.097,1864.36,623538490,12624151400.0
2022-06-09,1862.196,1862.196,1812.608,1819.227,495322190,8411618400.0
2022-06-10,1812.458,1838.926,1809.75,1838.601,488494690,8903539800.0
2022-06-13,1822.179,1843.706,1819.097,1840.603,576465200,12660237800.0
2022-06-14,1831.246,1836.042,1787.019,1835.991,533354270,9676633600.0
2022-06-15,1840.345,1865.055,1840.315,1842.643,593833150,9790010700.0
2022-06-16,1841.698,1880.914,1841.617,1867.195,565366400,8753388800.0
2022-06-17,1858.138,1878.005,1831.901,1877.214,549757130,9645967200.0
2022-06-20,1880.537,1917.68,1880.281,1915.588,585074300,10072953000.0
2022-06-21,1921.461,1939.028,1890.627,1909.767,579428900,9196891700.0
2022-06-22,1911.816,1923.211,1891.325,1893.117,577524400,10055608500.0
2022-06-23,1892.954,1912.803,1876.141,1912.39,526828210,8727038100.0
2022-06-24,1914.088,1940.677,1913.997,1931.256,556320780,12138721500.0
2022-06-27,1937.265,1957.517,1932.659,1942.251,556979020,11234482700.0
2022-06-28,1943.045,1958.036,1921.338,1957.253,530909990,9343507100.0
2022-06-29,1956.215,1974.532,1936.746,1936.845,616294050,10281301200.0
2022-06-30,1933.962,1977.891,1933.962,1967.525,691650460,10387437500.0
2022-07-01,1969.724,1979.427,1954.789,1963.586,510616780,8589830600.0
2022-07-04,1973.161,2020.799,1967.553,2020.484,750650950,15776227000.0
2022-07-05,2025.493,2025.493,1975.815,2003.715,715912500,16443513000.0
2022-07-06,2000.867,2011.551,1970.106,1988.886,602972780,13383294400.0
2022-07-07,1993.555,1993.555,1961.641,1975.787,538054300,10511338900.0
2022-07-08,1976.601,1992.884,1973.828,1982.228,570627170,9231621500.0
