date,open,high,low,close,volume
2002-07-16,3422.136,3465.583,3415.819,3423.926,383016892
2002-07-17,3427.956,3461.174,3402.963,3459.658,422384861
2002-07-18,3463.053,3487.866,3445.194,3481.361,553165091
2002-07-19,3484.737,3494.559,3465.55,3487.872,476775183
2002-07-22,3484.57,3484.57,3424.542,3425.487,531054748
2002-07-23,3416.21,3460.114,3412.54,3433.977,451820888
2002-07-24,3436.468,3454.579,3414.083,3425.822,362088006
2002-07-25,3434.487,3451.019,3396.672,3406.538,368528793
2002-07-26,3405.916,3428.883,3392.451,3398.785,332877689
2002-07-29,3395.498,3428.916,3389.87,3427.945,305216022
2002-07-30,3428.559,3437.655,3411.384,3431.459,312392975
2002-07-31,3433.158,3448.138,3400.762,3405.703,348304857
2002-08-01,3398.933,3427.003,3377.848,3416.677,306654662
2002-08-02,3419.568,3426.874,3410.75,3420.579,268301623
2002-08-05,3422.542,3422.542,3397.928,3401.463,244546802
2002-08-06,3395.874,3460.478,3390.351,3436.113,438810558
2002-08-07,3440.345,3440.345,3420.815,3428.082,265842414
2002-08-08,3428.708,3443.424,3401.553,3407.69,260787150
2002-08-09,3405.077,3405.077,3372.961,3385.095,314777286
2002-08-12,3375.279,3377.152,3358.567,3360.752,282580478
2002-08-13,3357.892,3380.111,3357.788,3367.402,227325445
2002-08-14,3368.148,3393.604,3362.259,3393.595,219559489
2002-08-15,3394.844,3394.844,3371.619,3377.365,215639163
2002-08-16,3374.078,3403.749,3349.293,3389.333,326664775
2002-08-19,3385.776,3402.482,3375.925,3393.99,235069475
2002-08-20,3392.799,3454.294,3391.419,3451.113,477211318
2002-08-21,3453.815,3461.997,3441.304,3448.516,410841405
2002-08-22,3449.042,3499.683,3449.042,3480.54,625087388
2002-08-23,3484.759,3489.565,3470.375,3476.665,386191139
2002-08-26,3478.121,3480.965,3443.419,3448.368,386785001
2002-08-27,3448.348,3463.261,3444.162,3456.965,490614881
2002-08-28,3459.323,3469.524,3448.926,3454.269,390523733
2002-08-29,3455.072,3471.22,3435.786,3437.606,390404363
2002-08-30,3436.455,3445.215,3431.853,3436.843,276542094
2002-09-02,3438.177,3448.865,3431.336,3443.899,264040182
2002-09-03,3445.728,3462.555,3445.728,3452.723,296955724
2002-09-04,3455.791,3465.072,3433.896,3437.856,326183004
2002-09-05,3433.364,3434.835,3380.291,3390.948,432935363
2002-09-06,3386.644,3399.435,3370.909,3374.31,344008187
2002-09-09,3365.941,3366.331,3336.33,3345.219,313352128
2002-09-10,3344.773,3359.322,3334.153,3350.093,232216633
2002-09-11,3349.487,3352.411,3306.871,3337.22,274541528
2002-09-12,3337.516,3355.247,3321.49,3344.587,239692791
2002-09-13,3345.429,3346.927,3336.567,3339.898,188738891
2002-09-16,3339.7,3339.7,3269.324,3276.574,270663130
2002-09-17,3277.361,3303.061,3248.635,3280.54,306638438
2002-09-18,3278.748,3278.748,3254.717,3258.315,208033608
2002-09-19,3255.498,3336.464,3242.786,3326.965,393588471
2002-09-20,3326.842,3326.842,3282.339,3287.148,283387271
2002-09-23,3277.133,3296.554,3276.31,3292.881,190991148
2002-09-24,3294.026,3295.586,3275.2,3277.053,221903259
2002-09-25,3276.041,3301.34,3270.104,3286.079,300196294
2002-09-26,3287.449,3296.964,3261.356,3265.643,276351369
2002-09-27,3267.24,3271.436,3236.216,3243.926,276577988
2002-10-08,3227.459,3227.459,3183.145,3197.942,184179175
2002-10-09,3194.38,3196.437,3137.713,3141.263,254380958
2002-10-10,3138.75,3152.479,3112.688,3115.621,198527461
2002-10-11,3116.117,3131.237,3101.271,3107.036,194156760
2002-10-14,3109.013,3125.112,3076.396,3118.348,257717965
2002-10-15,3116.764,3132.509,3109.667,3114.861,228014973
2002-10-16,3115.524,3159.77,3115.524,3138.534,292371858
2002-10-17,3139.826,3139.826,3069.641,3072.649,253932061
2002-10-18,3071.786,3098.601,3049.955,3088.174,262334965
2002-10-21,3086.136,3093.125,3062.494,3088.939,214875875
2002-10-22,3089.374,3134.78,3087.329,3126.865,383839403
2002-10-23,3123.369,3126.148,3105.051,3123.794,308518061
2002-10-24,3124.042,3124.042,3090.203,3093.735,318518134
2002-10-25,3092.186,3105.49,3056.603,3062.987,270513234
2002-10-28,3059.344,3059.344,3004.195,3009.193,277456915
2002-10-29,3005.775,3041.637,2989.784,3037.304,291363368
2002-10-30,3037.094,3048.199,3007.579,3037.939,284437826
2002-10-31,3037.94,3064.956,3028.733,3036.184,258069696
2002-11-01,3035.841,3051.583,3020.207,3050.561,233659589
2002-11-04,3064.774,3107.888,3061.712,3107.242,344308367
2002-11-05,3112.397,3176.922,3107.981,3161.543,674622139
2002-11-06,3161.737,3161.737,3137.757,3143.194,378534122
2002-11-07,3143.703,3157.378,3131.074,3148.124,351087958
2002-11-08,3182.148,3189.142,3067.066,3075.176,455883111
2002-11-11,3076.69,3089.558,3030.87,3036.702,265298522
2002-11-12,3038.331,3061.032,2984.681,2997.206,418103626
2002-11-13,2993.386,3015.872,2953.329,3015.367,372206573
2002-11-14,3015.317,3015.812,2969.228,2971.27,352630172
2002-11-15,2968.082,3019.368,2955.564,2983.543,375986213
2002-11-18,2983.562,2991.097,2932.174,2938.095,270844091
2002-11-19,2928.767,2958.828,2902.632,2952.314,292522392
2002-11-20,2947.005,2947.005,2898.574,2904.202,313954146
2002-11-21,2899.482,2899.888,2831.373,2836.144,420071194
2002-11-22,2836.114,2870.074,2790.545,2833.499,426314234
2002-11-25,2829.491,2849.076,2808.016,2840.485,272622126
2002-11-26,2837.662,2860.337,2786.942,2788.784,304686801
2002-11-27,2777.947,2816.389,2757.705,2810.55,378739492
2002-11-28,2810.341,2877.141,2797.309,2876.888,474730026
2002-11-29,2882.198,2951.605,2865.765,2920.718,837530128
2002-12-02,2919.09,2919.09,2835.951,2837.987,380175343
2002-12-03,2836.877,2861.453,2823.793,2861.354,291404857
2002-12-04,2864.416,2897.01,2846.713,2870.323,368629699
2002-12-05,2865.917,2865.917,2832.501,2850.229,288054774
2002-12-06,2849.987,2874.397,2837.78,2854.585,277083733
2002-12-09,2851.785,2866.786,2836.278,2847.516,218530125
2002-12-10,2851.954,2864.893,2816.413,2818.3,284602726
2002-12-11,2814.802,2816.264,2777.694,2796.805,267208976
2002-12-12,2796.687,2836.368,2792.181,2806.014,299971991
2002-12-13,2791.076,2837.755,2775.841,2830.629,385212572
2002-12-16,2833.304,2859.782,2822.827,2859.532,433046685
2002-12-17,2862.112,2883.024,2856.225,2878.57,516098382
2002-12-18,2878.558,2903.965,2864.851,2868.419,569134525
2002-12-19,2865.738,2873.1,2842.751,2865.938,386865559
2002-12-20,2868.56,2909.908,2860.392,2905.005,544843172
2002-12-23,2912.699,2938.853,2900.813,2907.331,576984233
2002-12-24,2907.681,2910.658,2885.528,2905.864,375284963
2002-12-25,2907.523,2914.606,2884.111,2887.138,456165764
2002-12-26,2882.665,2883.473,2806.985,2809.937,560559914
2002-12-27,2797.827,2817.61,2768.391,2802.956,509054913
2002-12-30,2797.544,2798.307,2744.653,2771.018,403569563
2002-12-31,2764.102,2778.572,2738.551,2759.3,398742585
2003-01-02,2743.21,2743.304,2682.267,2689.493,338797595
2003-01-03,2681.635,2700.388,2673.249,2687.72,287943229
2003-01-06,2684.832,2723.744,2675.045,2722.282,317403603
2003-01-07,2723.178,2740.666,2705.597,2718.326,344432364
2003-01-08,2716.667,2790.261,2714.875,2790.037,463954955
2003-01-09,2794.283,2848.745,2773.436,2835.489,872629707
2003-01-10,2834.304,2860.997,2809.839,2811.192,781270575
2003-01-13,2803.032,2830.935,2798.988,2821.599,450131659
2003-01-14,2823.122,3027.749,2823.122,2999.398,1513569119
2003-01-15,3004.918,3027.811,2945.58,2963.99,1276220986
2003-01-16,2964.887,3014.147,2957.397,3010.611,900403120
2003-01-17,3014.592,3027.463,2985.368,2998.666,869622177
2003-01-20,2998.646,3012.793,2963.528,3012.075,674802161
2003-01-21,3018.571,3029.033,2953.417,2953.515,727265370
2003-01-22,2948.026,2969.244,2941.448,2961.89,649718447
2003-01-23,2960.061,2984.979,2941.464,2942.162,654406894
2003-01-24,2939.762,2998.295,2934.999,2992.108,641168726
2003-01-27,2994.851,3037.733,2994.193,3031.448,750738546
2003-01-28,3032.212,3045.757,3021.273,3044.034,536011487
2003-01-29,3045.014,3069.125,3042.82,3051.219,601077415
2003-02-10,3048.806,3048.806,3006.496,3010.633,386482029
2003-02-11,3005.427,3032.132,3001.055,3031.311,375012216
2003-02-12,3031.654,3064.287,3020.391,3063.023,607736950
2003-02-13,3066.633,3082.357,3040.773,3043.886,723807829
2003-02-14,3041.835,3055.124,3033.564,3046.601,518804785
2003-02-17,3048.753,3053.671,3011.112,3021.914,540787097
2003-02-18,3019.388,3027.332,3006.492,3018.696,437781052
2003-02-19,3018.614,3046.296,3002.318,3046.268,425264317
2003-02-20,3045.948,3056.125,3038.561,3041.894,459189691
2003-02-21,3040.867,3040.867,2984.674,2990.007,604823964
2003-02-24,2985.856,3006.024,2980.861,2990.081,381175688
2003-02-25,2993.459,3044.107,2993.459,3043.167,592855208
2003-02-26,3043.837,3047.332,3031.347,3044.07,417662151
2003-02-27,3044.963,3061.267,3044.122,3051.915,431148782
2003-02-28,3052.352,3063.022,3040.129,3057.241,375680797
2003-03-03,3058.271,3073.891,3051.227,3073.441,459828698
2003-03-04,3077.729,3087.424,3065.817,3076.993,415797950
2003-03-05,3078.442,3079.932,3052.569,3070.353,463028724
2003-03-06,3071.204,3071.204,3027.486,3030.948,497353669
2003-03-07,3028.809,3040.156,3019.702,3027.735,439822434
2003-03-10,3022.054,3026.128,2972.757,2974.373,471918500
2003-03-11,2971.135,2984.64,2960.934,2971.493,327876760
2003-03-12,2971.094,2996.316,2957.2,2995.963,353464124
2003-03-13,2996.054,2999.458,2975.894,2978.227,341046358
2003-03-14,2976.872,2998.09,2970.604,2994.668,382232454
2003-03-17,2992.73,2992.883,2961.934,2989.835,458694247
2003-03-18,2989.236,3009.571,2978.011,2979.295,447713279
2003-03-19,2976.995,3012.627,2962.027,3000.761,391670780
2003-03-20,2998.924,3007.21,2970.326,2976.103,397180710
2003-03-21,2973.172,3006.38,2971.265,3005.593,353503998
2003-03-24,3007.484,3014.483,2999.148,3012.274,280125442
2003-03-25,3012.142,3014.682,2977.483,2979.086,305976260
2003-03-26,2975.528,2986.541,2958.043,2968.82,323413717
2003-03-27,2966.378,3056.726,2954.083,3046.34,614672150
2003-03-28,3045.212,3069.364,3030.347,3048.612,663986150
2003-03-31,3048.603,3102.091,3047.433,3101.859,641368957
2003-04-01,3105.28,3129.371,3092.631,3118.911,739695680
2003-04-02,3116.892,3137.802,3110.977,3127.661,563399292
2003-04-03,3128.337,3132.589,3111.881,3118.456,528185398
2003-04-04,3115.794,3159.881,3113.415,3154.842,647242847
2003-04-07,3158.425,3184.097,3132.859,3140.137,684105719
2003-04-08,3137.295,3159.396,3136.89,3146.302,790778322
2003-04-09,3144.015,3220.882,3136.665,3219.08,1066248996
2003-04-10,3226.871,3273.156,3226.871,3259.948,1427135525
2003-04-11,3258.933,3330.445,3250.525,3310.486,1478099508
2003-04-14,3316.022,3395.281,3316.022,3382.822,1960227938
2003-04-15,3389.351,3436.708,3359.776,3433.385,1599314590
2003-04-16,3447.926,3525.869,3413.737,3445.872,2101071874
2003-04-17,3446.292,3481.012,3400.457,3453.32,1361834256
2003-04-18,3458.297,3470.761,3392.658,3408.354,1224645526
2003-04-21,3410.261,3410.261,3282.672,3325.716,1096420972
2003-04-22,3328.021,3355.245,3315.454,3334.182,715901518
2003-04-23,3332.931,3350.058,3275.333,3285.116,1026197271
2003-04-24,3272.489,3272.489,3147.939,3188.613,1157182761
2003-04-25,3175.718,3204.527,3136.771,3150.958,797966976
2003-04-28,3129.247,3297.599,3097.487,3293.924,1127878347
2003-04-29,3289.763,3295.062,3231.567,3238.812,1066591351
2003-04-30,3231.563,3302.236,3231.563,3260.754,956593832
2003-05-12,3264.935,3313.529,3247.971,3307.015,791690653
2003-05-13,3330.288,3341.14,3217.538,3221.285,1185652662
2003-05-14,3207.574,3294.476,3191.431,3292.958,1107236135
2003-05-15,3296.761,3394.716,3276.091,3393.583,1338411626
2003-05-16,3399.03,3433.018,3393.101,3414.126,1031095285
2003-05-19,3422.157,3452.443,3399.381,3434.628,905010117
2003-05-20,3427.845,3427.845,3375.146,3395.353,778729554
